ID	ENT_ID	TYPE_ENT	ES	MOTPROSOC0	MOTPROSOC1	FEMME	HOMME	AGE	EDUCATION	NAT	EXPEANTE	NETTOYAGE
1	1	3	0	6.333333	6	1	0	37	4	italie	0	1
2	1	3	0	5	5	1	0	32	2	belge	0	1
3	21	2	1	7	1	1	0	48	3	belge	1	1
4	21	2	1	4.666667	5.333333	1	0	30	3	belge	0	1
5	21	2	1	7	7	1	0	46	2	belge	0	1
6	22	2	1	4	4	1	0	45	4	belge	0	1
7	22	2	1	6	6	1	0	26	3	belge	0	1
8	23	2	1	5	6	1	0	25	2	belge	0	1
9	23	2	1	7	6	1	0	22	1	belge	0	1
10	24	2	1	7	5.666667	1	0	34	3	belge	0	1
11	24	2	1	5	4.666667	1	0	23	2	belge	0	1
12	24	2	1	6.666667	4	1	0	32	3	belge	0	1
13	25	2	1	4	5.666667	1	0	43	3	belge	1	1
14	25	2	1	6.333333	7	1	0	31	2	belge	0	1
15	25	2	1	6	6.333333	1	0	43	3	belge	1	1
16	25	2	1	5.666667	7	1	0	33	3	belge	0	1
17	2	3	0	4.333333	3.666667	0	1	25	3	belge	1	1
18	3	3	0	4.666667	5	1	0	44	2	belge	0	1
19	3	3	0	7	4	1	0	53	2	belge	0	1
20	26	2	1	7	7	1	0	38	2	belge	1	1
21	26	2	1	6.333333	6	1	0	45	2	belge	0	1
22	26	2	1	7	6.666667	1	0	32	2	belge	0	1
23	26	2	1	6	5	1	0	22	2	belge	0	1
24	26	2	1	5.333333	7	1	0	39	2	belge	0	1
25	26	2	1	6.333333	7	1	0	23	3	belge	0	1
26	26	2	1	4.333333	6	1	0	25	3	belge	0	1
27	26	2	1	6.666667	6.666667	1	0	58	1	belge	0	1
28	26	2	1	5.666667	5	1	0	47	2	belge	0	1
29	26	2	1	6	4	1	0	21	2	belge	0	1
30	26	2	1	5.874233	5	1	0	37	3	belge	0	1
31	26	2	1	6.666667	4	1	0	30	3	belge	0	1
32	26	2	1	6.666667	7	1	0	18	2	belge	0	1
33	26	2	1	7	5	1	0	19	2	belge	0	1
34	26	2	1	7	7	1	0	22	3	belge	0	1
35	26	2	1	6	4	1	0	44	3	belge	1	1
36	26	2	1	7	6	1	0	28	3	belge	0	1
37	26	2	1	6	4.666667	1	0	36	3	belge	0	1
38	26	2	1	4.666667	5	1	0	24	1	belge	0	1
39	26	2	1	6	6.333333	1	0	34	3	cameroun	0	1
40	26	2	1	7	7	1	0	25	2	belge	0	1
41	4	3	0	7	6	1	0	37	4	belge	0	1
