ENT_ID	TYPE_ENT	ES	MOTPROSOC0	FEMME	HOMME	AGE	EDUCATION	NAT	NETTOYAGE	EXPEANTE	PARTI
1	3	0	6.333333	1	0	37	4	italie	1	0	0
1	3	0	5	1	0	32	2	belge	1	0	0
2	3	0	4.333333	0	1	25	3	belge	1	0	0
3	3	0	7	1	0	25	4	belge	1	0	1
3	3	0	4.666667	1	0	44	2	belge	1	0	0
3	3	0	6.666667	1	0	23	2	belge	1	0	1
3	3	0	7	1	0	53	2	belge	1	0	0
3	3	0	6	1	0	43	2	belge	1	0	1
4	3	0	7	1	0	37	4	belge	1	0	0
5	3	0	5.333333	1	0	31	3	belge	1	0	0
5	3	0	7	1	0	21	3	belge	1	0	0
5	3	0	7	1	0	53	3	belge	1	0	0
5	3	0	7	1	0	37	2	belge	1	0	0
6	3	0	6.333333	1	0	22	2	belge	1	0	1
7	3	0	7	1	0	31	4	belge	1	0	0
7	3	0	5	1	0	37	3	belge	0	0	0
7	3	0	7	1	0	48	2	belge	1	0	0
7	3	0	6	1	0	35	2	belge	1	0	0
7	3	0	5	1	0	29	3	belge	1	0	0
7	3	0	5	1	0	30	2	belge	1	0	0
7	3	0	6	0	1	35	2	bresil	1	0	0
8	3	0	5	1	0	24	2	belge	1	0	0
8	3	0	7	1	0	22	2	belge	1	0	0
8	3	0	6.666667	1	0	31	4	belge	1	0	0
9	3	0	7	1	0	19	3	belge	1	0	0
9	3	0	2	1	0	48	2	belge	1	0	0
9	3	0	5	1	0	44	3	belge	1	0	0
9	3	0	6	1	0	31	3	belge	1	0	0
9	3	0	4	1	0	31	2	belge	1	0	0
9	3	0	6	1	0	31	3	belge	1	0	0
10	3	0	3.333333	1	0	21	2	belge	1	0	0
10	3	0	4.333333	1	0	23	2	belge	1	0	0
10	3	0	4.666667	1	0	45	3	belge	1	0	1
11	3	0	6	1	0	56	1	belge	1	0	0
12	3	0	6.333333	1	0	23	2	belge	1	0	0
12	3	0	7	1	0	29	2	belge	1	0	0
12	3	0	7	1	0	25	3	belge	1	0	0
13	3	0	6	1	0	40	2	france	1	0	0
14	3	0	2.666667	1	0	34	5	espagne	1	0	0
14	3	0	7	1	0	39	3	italie	1	0	0
15	3	0	7	1	0	26	2	belge	1	0	1
16	3	0	6	1	0	25	3	Roumanie	1	0	0
16	3	0	5.666667	1	0	27	4	Roumanie	1	0	0
16	3	0	4	1	0	32	2	Equateur	1	0	0
16	3	0	4.666667	1	0	49	2	Equateur	1	0	0
16	3	0	5	0	1	50	1	Maroc	1	0	0
16	3	0	5.333333	1	0	32	3	Portugal	1	0	0
16	3	0	6	1	0	47	5	Equateur	1	0	0
17	3	0	7	1	0	27	5	Canada	1	0	1
18	3	0	5	1	0	21	2	belge	1	0	0
18	3	0	6	1	0	52	1	espagne	1	0	0
18	3	0	6	1	0	51	5	belge	1	0	0
19	3	0	5	1	0	23	3	belge	1	0	0
